URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME TIRE – DATE DIFFERENTE				
<http://data.doremus.org/performance/7966c253-0cd2-39a7-bd27-21a34e5a75fa>	1062228.ttl	Les Dissonances, David Grimal	2017-01-30T20:30	
				
<http://data.doremus.org/performance/18474840-a76f-35d0-bcd1-ed45f7d09ba6>	13169.ttl	Les Dissonances - David Grimal 	2014-03-01T16:30	Similarité :1.0
<http://data.doremus.org/performance/4280cb11-94bb-3fd2-827c-4adcff8d8fd7>	1023315.ttl	Les Dissonances, David Grimal	2014-10-21T20:00	
				
<http://data.doremus.org/performance/18474840-a76f-35d0-bcd1-ed45f7d09ba6>	13169.ttl	Les Dissonances - David Grimal 	2014-03-01T16:30	Similarité :1.0
<http://data.doremus.org/performance/850618f8-2702-33f6-a43a-5c85c4c29c65>	1033088.ttl	Les Dissonances. David Grimal	2015-04-01T20:30	
				
<http://data.doremus.org/performance/18474840-a76f-35d0-bcd1-ed45f7d09ba6>	13169.ttl	Les Dissonances - David Grimal 	2014-03-01T16:30	Similarité :1.0
<http://data.doremus.org/performance/1386ad04-a768-3b93-af13-980357c76121>	1040876.ttl	Les Dissonances : David Grimal	2015-10-06T20:30	
				
<http://data.doremus.org/performance/18474840-a76f-35d0-bcd1-ed45f7d09ba6>	13169.ttl	Les Dissonances - David Grimal 	2014-03-01T16:30	Similarité :1.0
<http://data.doremus.org/performance/8ae7da6a-8728-39ac-bf83-13e2157c200c>	1030927.ttl	Les Dissonances, David Grimal	2015-02-09T20:30	
				
<http://data.doremus.org/performance/17f948eb-bac1-3895-9884-8bb418a6fed5>	13187.ttl	Les Dissonances - David Grimal	2014-05-25T16:30	Similarité :1.0
<http://data.doremus.org/performance/7966c253-0cd2-39a7-bd27-21a34e5a75fa>	1062228.ttl	Les Dissonances, David Grimal	2017-01-30T20:30	
				
<http://data.doremus.org/performance/17f948eb-bac1-3895-9884-8bb418a6fed5>	13187.ttl	Les Dissonances - David Grimal	2014-05-25T16:30	Similarité :1.0
<http://data.doremus.org/performance/4280cb11-94bb-3fd2-827c-4adcff8d8fd7>	1023315.ttl	Les Dissonances, David Grimal	2014-10-21T20:00	
				
<http://data.doremus.org/performance/17f948eb-bac1-3895-9884-8bb418a6fed5>	13187.ttl	Les Dissonances - David Grimal	2014-05-25T16:30	Similarité :1.0
<http://data.doremus.org/performance/850618f8-2702-33f6-a43a-5c85c4c29c65>	1033088.ttl	Les Dissonances. David Grimal	2015-04-01T20:30	
				
<http://data.doremus.org/performance/17f948eb-bac1-3895-9884-8bb418a6fed5>	13187.ttl	Les Dissonances - David Grimal	2014-05-25T16:30	Similarité :1.0
