URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME DATE – TITRE LEGEREMENT DIFFERENT				
<http://data.doremus.org/performance/edfb62b1-6073-388c-8404-251ca190f2ff>	16676.ttl	Symphonieorchester des Bayerischen Rundfunks - Jansons 	2017-01-31T20:30	Similarité :0.7545
<http://data.doremus.org/performance/6f3a2393-a3db-3565-9aef-c32742f6f7ed>	1062335.ttl	Jansons, Symphonieorchester des Bayerischen Rundfunks	2017-01-31T20:30	
				
<http://data.doremus.org/performance/2c32bb94-fcbc-3d77-babf-337ac62b0317>	17102.ttl	Jamaican Revue	2017-04-21T20:30	Similarité :0.867
<http://data.doremus.org/performance/42f42187-a552-3861-ae3b-753de1b2d80d>	1065605.ttl	Jamaican Revue. Jah9	2017-04-21T20:30	
				
<http://data.doremus.org/performance/2c32bb94-fcbc-3d77-babf-337ac62b0317>	17102.ttl	Jamaican Revue	2017-04-21T20:30	Similarité :0.6895
<http://data.doremus.org/performance/aa34ceea-8684-3d9f-a068-47d4cfefbfd9>	1066233.ttl	Jamaican Revue. Brigadier Jerry	2017-04-21T20:30	
				
<http://data.doremus.org/performance/1560979c-7eaf-308b-8395-563026cb7d6c>	18855.ttl	Gregory Porter	2017-09-05T20:00	Similarité :0.6325000000000001
<http://data.doremus.org/performance/52ef5cae-8346-3273-8898-ef6b9b9c0662>	1071729.ttl	Jazz à la Villette : Gregory Porter	2017-09-05T20:00	
				
<http://data.doremus.org/performance/471c24ab-d939-36a7-b3ae-78e791b1ef13>	18867.ttl	Omer Avital Quintet / Laurent de Wilde & Ray Lema	2017-09-08T20:00	Similarité :0.69
<http://data.doremus.org/performance/0ff96a98-5228-302a-93b9-2eda72a9edde>	1071742.ttl	Jazz à la Villette : Laurent de Wilde et Ray Lema	2017-09-08T20:00	
				
<http://data.doremus.org/performance/d72a8d8a-5f8e-323e-b3c3-5a5b6f009a2c>	18860.ttl	Mulatu Astatke & friends	2017-09-13T20:00	Similarité :0.655
<http://data.doremus.org/performance/012f3c51-f4f4-3ad6-b4f5-3cb54e9133a5>	1071864.ttl	Jazz à la Villette : Mulatu Astatke and friends	2017-09-13T20:00	
				
<http://data.doremus.org/performance/d2c6f804-ec70-3ecb-a029-482b94bd0145>	16697.ttl	Chamber Orchestra of Europe	2017-02-07T20:30	Similarité :0.7484999999999999
<http://data.doremus.org/performance/7ea40df2-546d-330c-b97a-f47fb9c82728>	1062702.ttl	Chamber Orchestra of Europe, Yannick Nézet-Séguin	2017-02-07T20:30	
				
<http://data.doremus.org/performance/448c6edc-ee4f-3ebd-a651-35e2d8201d38>	17960.ttl	Bach en sept paroles - V - Des profondeurs	2018-02-06T20:30	Similarité :0.7
<http://data.doremus.org/performance/c76e225c-3d2e-3801-8384-240860fb7227>	1076345.ttl	Bach en sept paroles : V : des profondeurs. Pygmalion - Raphaël Pichon	2018-02-06T20:30	
				
<http://data.doremus.org/performance/8069101d-cdf5-3264-b574-78f47a345a68>	10693.ttl	3 Decades of Einstürzende Neubauten	2010-11-16T20:00	Similarité :0.749
<http://data.doremus.org/performance/8bb8bd1a-5657-3f59-9437-5deba03b0bdc>	0952911.ttl	3 Decades of Einstürzende Neubauten. First Night of Celebration	2010-11-16T20:00	
				
<http://data.doremus.org/performance/b05820e9-59aa-3da3-897b-5aa8355a4507>	11069.ttl	Leçon de musique par Menahem Pressler : Interpréter Mozart et Chopin	2011-03-20T16:30	Similarité :0.7945
<http://data.doremus.org/performance/7582efd4-8fa2-367e-9a41-db3f4b21f1a9>	0961895.ttl	Leçon de musique. Interpréter Mozart et Chopin.	2011-03-20T16:30	
				
<http://data.doremus.org/performance/61139dd1-43b4-3f9c-9983-2c4f61c6dbed>	11083.ttl	Les Arts Florissants - Le Jardin de Monsieur Lully	2011-06-07T20:30	Similarité :0.628
