URI	Nom du Fichier	P102 has title	P4 has time-span U8 foresees time span	Similarité
<http://data.doremus.org/performance/475c56c5-f158-3e60-8f45-a3e2a43ec65b>	15180.ttl	Le Encantadas	2015-10-21T20:30	Similarité :0.364
<http://data.doremus.org/performance/e704839d-0dea-3008-9828-9dd8aab9ac1e>	1042894.ttl	Orchestre de Paris. Esa-Pekka Salonen	2015-10-21T20:30	
				
<http://data.doremus.org/performance/b5f28745-4843-3663-8576-7bf541c8390c>	14559.ttl	"James Carter \""Giant Steps\"" / Omar Sosa \""Kind of Blue\"""	2014-09-06T17:30	Similarité :0.5005
<http://data.doremus.org/performance/4553ef54-fe47-35d7-af9a-11a1086c1140>	1021050.ttl	"Jazz à la Villette. James Carter Organ Trio joue \""Giant Steps\"""	2014-09-06T17:30	
				
<http://data.doremus.org/performance/95cc2e3f-882e-3365-9ac8-ae37746e6e72>	13190.ttl	Les Arts Florissants	2014-05-28T20:00	Similarité :0.29100000000000004
<http://data.doremus.org/performance/163468dd-41cc-3818-a874-c867959fe603>	1018245.ttl	Intervalle Paul Agnew, madrigaux (livre VII)	2014-05-28T20:00	
				
<http://data.doremus.org/performance/60bf6b95-4bd6-30e7-a216-5ceb0cd78663>	17523.ttl	Laura Mvula	2016-09-10T20:00	Similarité :0.491
<http://data.doremus.org/performance/eedca036-889b-3bb1-bbea-ab32c6d1e99e>	1056452.ttl	Jazz à la Villette : Laura Mvula	2016-09-10T20:00	
				
<http://data.doremus.org/performance/b6475204-f8d9-3b3c-8482-66c0d2eec7f5>	17521.ttl	Avishai Cohen Quartet / Jacky Terrasson & Stephane Belmondo	2016-09-07T20:00	Similarité :0.35
<http://data.doremus.org/performance/07ed5731-0f0e-3706-be9b-80edb2652110>	1056441.ttl	Jazz à la Villette : GoGo Penguin	2016-09-07T20:00	
				
<http://data.doremus.org/performance/682ee9f6-f381-325a-b22f-452d77ffa2be>	14232.ttl	Répons de Pierre Boulez	2015-06-11T20:30	Similarité :0.5795
<http://data.doremus.org/performance/1ae332a0-f9cf-3bed-8b6f-2ae10e40243b>	1035806.ttl	Répons de Pierre Boulez, Ensemble intercontemporain, Matthias Pintscher	2015-06-11T20:30	
				
<http://data.doremus.org/performance/2e701f09-245e-365f-a10a-4d3906f4db96>	15179.ttl	Grand soir	2015-10-10T20:30	Similarité :0.355
<http://data.doremus.org/performance/02930d8d-adbf-3d1a-ba82-f17772f51951>	1041823.ttl	Week-end Turbulences numériques. Grand soir	2015-10-10T20:30	
				
<http://data.doremus.org/performance/26a684af-137f-324d-a312-5888f8830ffd>	14050.ttl	La Chambre Philharmonique - Emmanuel Krivine - Bertrand Chamayou	2014-11-28T20:00	Similarité :0.4405
<http://data.doremus.org/performance/9f20765f-a362-3006-8728-8aada29f805a>	1024947.ttl	Wiener Symphoniker, Philippe Jordan, Khatia Buniatishvili, Rainer Küblböck	2014-11-28T20:00	
				
<http://data.doremus.org/performance/f6206575-9cd6-309b-8c3f-5cdda47dbc52>	13530.ttl	Jean Rondeau	2014-03-21T19:00	Similarité :0.39999999999999997
<http://data.doremus.org/performance/08c478e2-5750-3821-9733-e14efc7ad8cd>	1015038.ttl	Johann Sebastian Bach. Les Tempéraments	2014-03-21T19:00	
				
<http://data.doremus.org/performance/4dba73ad-c010-389a-8f6f-52ed68c86262>	14360.ttl	Gustavo Dudamel 1	2015-01-24T20:30	Similarité :0.46399999999999997
<http://data.doremus.org/performance/bfe06cde-99b6-349f-94e8-1861fcb095d5>	1029288.ttl	Week-end Nouvelles vagues. Gustavo Dudamel 1	2015-01-24T20:30	
				
<http://data.doremus.org/performance/3afc879d-33a9-38cc-9dd5-b63643ac9455>	17623.ttl	Sarah Murcia & Vic Moan (carte blanche à Sarah Murcia)	2016-09-10T20:00	Similarité :0.401
<http://data.doremus.org/performance/eedca036-889b-3bb1-bbea-ab32c6d1e99e>	1056452.ttl	Jazz à la Villette : Laura Mvula	2016-09-10T20:00	
				
<http://data.doremus.org/performance/c44adbfb-508f-3d79-841a-32972edb382c>	15536.ttl	Quatuor Casals	2016-01-23T17:00	Similarité :0.499
<http://data.doremus.org/performance/f2913927-0a51-3e1c-a936-f575679cb004>	1045778.ttl	Biennale de quatuors à cordes. Quatuor Casals	2016-01-23T17:00	
				
<http://data.doremus.org/performance/003b840d-4bc2-30e0-80d3-14f435ef70a8>	14284.ttl	London Symphony Orchestra - Peter Eötvös	2015-04-20T20:30	Similarité :0.339
<http://data.doremus.org/performance/97e99afd-42e7-3c3a-9b45-f768f7f6a986>	1033095.ttl	Madrigaux guerriers. Paul Agnew, Les Arts Florissants	2015-04-20T20:30	
				
<http://data.doremus.org/performance/70e0269e-f28f-363a-88cb-a573e2fb315d>	15174.ttl	Inauguration de l’orgue symphonique	2015-10-28T20:30	Similarité :0.40599999999999997
<http://data.doremus.org/performance/998f84db-7bdc-32a7-8e47-738d7f3f7666>	1042334.ttl	Concert dansé. Peter Von Poehl, Héla Fattoumi, Eric Lamoureux	2015-10-28T20:30	
				
<http://data.doremus.org/performance/7ba02fd5-4c50-3716-a05c-b89d062c3e35>	15441.ttl	Higelin symphonique	2015-10-24T20:30	Similarité :0.508
<http://data.doremus.org/performance/98681c12-da5c-30c7-a27f-ecd1b28ec5e4>	1042324.ttl	Week-end Jacques Higelin. Higelin symphonique	2015-10-24T20:30	
				
<http://data.doremus.org/performance/d8ec4f72-bb31-3c6f-97cd-0ce32538f9fa>	17809.ttl	Grand soir	2017-09-23T20:30	Similarité :0.521
<http://data.doremus.org/performance/bdf5f41c-3e2f-31b6-926b-8621c71c59ac>	1072541.ttl	Grand soir : Ensemble intercontemporain : Duncan Ward	2017-09-23T20:30	
				
<http://data.doremus.org/performance/7d6d0b58-a953-3a65-b413-07d369cfcba6>	17800.ttl	Orchestre Métropolitain de Montréal	2017-12-02T20:30	Similarité :0.5835
<http://data.doremus.org/performance/dccb5907-8988-3a3a-a64c-b3a8e9fdb1b1>	1072554.ttl	Orchestre Métropolitain de Montréal : Yannick Nézet-Séguin, Stéphane Tétreault, Alexandre Tharaud : Elgar, Ravel, Debussy	2017-12-02T20:30	
				
<http://data.doremus.org/performance/7d6d0b58-a953-3a65-b413-07d369cfcba6>	17800.ttl	Orchestre Métropolitain de Montréal	2017-12-02T20:30	Similarité :0.39649999999999996
<http://data.doremus.org/performance/f38f983a-0832-3825-a9f3-9407438aded3>	0815267.ttl	Extase et transe : nuit indienne. Terry Riley : In C	2017-12-02T20:30	
				
<http://data.doremus.org/performance/60176e5f-cb62-3473-b727-93a494d657cd>	16673.ttl	Paris en fête !	2017-01-29T19:00	Similarité :0.379
<http://data.doremus.org/performance/b0e1ff02-4443-32c2-94dd-02f70235a8de>	1062157.ttl	Biennale d'art vocal. Paris en fête ! Les Siècles	2017-01-29T19:00	
				
<http://data.doremus.org/performance/7b31e2e9-f953-3b33-9956-cbae9ab4bfa6>	17838.ttl	Les Planètes HD	2017-11-24T20:30	Similarité :0.301
<http://data.doremus.org/performance/6cb674ba-5ba4-3666-ba77-f8fabae27bf8>	1074291.ttl	Jeanne Cherhal et Bachar Mar-Khalifé. ARBA - Autour de Barbara	2017-11-24T20:30	
				
<http://data.doremus.org/performance/627cde29-b555-3ba2-a22e-0efbed8f91bb>	17801.ttl	Orchestre Métropolitain de Montréal	2017-12-03T16:30	Similarité :0.571
<http://data.doremus.org/performance/2eb72b3e-91a6-3071-9879-830b860cc6da>	1072563.ttl	Orchestre Métropolitain de Montréal : Yannick Nézet-Séguin, Marie-Nicole Lemieux, Jean-Guihen Queyras : Berlioz, Saint-Saëns, Elgar	2017-12-03T16:30	
				
<http://data.doremus.org/performance/fd73ea20-d486-31f0-8deb-ae09080f34cb>	16713.ttl	Rothko Chapel	2017-02-24T20:30	Similarité :0.595
<http://data.doremus.org/performance/905af3a1-86de-3db6-ae7b-fcb972b7f88f>	1062230.ttl	Rothko Chapel. Ensemble intercontemporain	2017-02-24T20:30	
				
<http://data.doremus.org/performance/2c38b057-72b1-34de-ab25-32b9c539354b>	18490.ttl	Devendra Banhart	2017-07-06T20:30	Similarité :0.33599999999999997
<http://data.doremus.org/performance/9cdead65-814f-312e-a142-be22ac2d778c>	1069996.ttl	Un concert à emporter, festival Days Off. Lisa Hannigan	2017-07-06T20:30	
				
<http://data.doremus.org/performance/bb0b5218-239e-3c31-9253-c10e08153d8e>	16765.ttl	Monty Alexander	2017-04-23T18:00	Similarité :0.4475
<http://data.doremus.org/performance/dfb65c08-4179-3941-b588-f972b00f8f36>	1065461.ttl	Week-end Jamaica. Monty Alexander. Harlem Kingston express	2017-04-23T18:00	
				
<http://data.doremus.org/performance/bb0b5218-239e-3c31-9253-c10e08153d8e>	16765.ttl	Monty Alexander	2017-04-23T18:00	Similarité :0.4085
<http://data.doremus.org/performance/b040dc3e-5ef4-3dc6-9b0c-76a0b18b1b93>	0241861.ttl	Flamenco à la cité. Fosforito	2017-04-23T18:00	
				
<http://data.doremus.org/performance/cf4a8757-3786-3eca-9cb2-fca4cf432fd9>	16738.ttl	Orchestre de Paris	2017-03-30T20:30	Similarité :0.345
<http://data.doremus.org/performance/6aaa1610-cdfa-39da-ac09-f43a2707b5d1>	1070492.ttl	Genesis. Ensemble intercontemporain	2017-03-30T20:30	
				
<http://data.doremus.org/performance/cf4a8757-3786-3eca-9cb2-fca4cf432fd9>	16738.ttl	Orchestre de Paris	2017-03-30T20:30	Similarité :0.4425
<http://data.doremus.org/performance/65cf6b18-0813-33da-9a2c-68e6acb355e5>	0921476.ttl	Arthur H et ses invités	2017-03-30T20:30	
				
<http://data.doremus.org/performance/cf4a8757-3786-3eca-9cb2-fca4cf432fd9>	16738.ttl	Orchestre de Paris	2017-03-30T20:30	Similarité :0.48000000000000004
<http://data.doremus.org/performance/7a9e4073-8fac-3146-a3e1-5618152bcba0>	0241959.ttl	Richard Goode, récital de piano	2017-03-30T20:30	
				
<http://data.doremus.org/performance/98389c7a-1499-3f5a-a75a-50ff941dea3b>	16729.ttl	Hommage à Pierre Boulez	2017-03-18T20:30	Similarité :0.477
<http://data.doremus.org/performance/e4f5a3b3-bd76-3054-9622-58fe5ef2ffec>	1063596.ttl	Week-end EIC 40. Hommage à Pierre Boulez. Ensemble intercontemporain	2017-03-18T20:30	
				
<http://data.doremus.org/performance/98389c7a-1499-3f5a-a75a-50ff941dea3b>	16729.ttl	Hommage à Pierre Boulez	2017-03-18T20:30	Similarité :0.364
<http://data.doremus.org/performance/d739f31c-6f57-3905-aaa4-75b220a246c4>	0241358.ttl	Amérique. Made in the USA	2017-03-18T20:30	
				
<http://data.doremus.org/performance/eb007022-a4c5-3b28-8d76-5dfc58638cf6>	18479.ttl	Michael Kiwanuka / James Vincent McMorrow	2017-07-05T20:30	Similarité :0.641
<http://data.doremus.org/performance/4afa5d7c-c7ef-34a2-bcae-93f17daf159f>	1069432.ttl	Festival Days Off. James Vincent McMorrow	2017-07-05T20:30	
				
<http://data.doremus.org/performance/eb007022-a4c5-3b28-8d76-5dfc58638cf6>	18479.ttl	Michael Kiwanuka / James Vincent McMorrow	2017-07-05T20:30	Similarité :0.3755
<http://data.doremus.org/performance/a2d25d33-83ae-3510-84c6-407df4783974>	1070004.ttl	Un concert à emporter, festival Days Off. Juliette Armanet	2017-07-05T20:30	
				
<http://data.doremus.org/performance/2c32bb94-fcbc-3d77-babf-337ac62b0317>	17102.ttl	Jamaican Revue	2017-04-21T20:30	Similarité :0.566
<http://data.doremus.org/performance/3db825a1-af77-3c0a-9bdd-ce306d84186f>	1066242.ttl	"Jamaican Revue. Lee \""Scratch\"" Perry and the Homegrownband"	2017-04-21T20:30	
				
<http://data.doremus.org/performance/2c32bb94-fcbc-3d77-babf-337ac62b0317>	17102.ttl	Jamaican Revue	2017-04-21T20:30	Similarité :0.577
<http://data.doremus.org/performance/7dec5a9b-8bdd-39b9-8e01-87232a1e7420>	1066237.ttl	Jamaican Revue. Johnny Osbourne & the Homegrown Band	2017-04-21T20:30	
				
<http://data.doremus.org/performance/51f9c347-e7ca-3852-8fd7-b81620826e37>	17312.ttl	Oratorio de Noël	2016-12-17T20:30	Similarité :0.4155
<http://data.doremus.org/performance/ce81de8b-19e8-340a-8b2b-66ab224a5a2f>	1061549.ttl	Week-end Joyeuses fêtes. Oratorio de Noël	2016-12-17T20:30	
				
<http://data.doremus.org/performance/4533cbb5-4476-3b9c-9348-896200131a10>	16690.ttl	Tamsin Waley-Cohen	2017-01-14T20:30	Similarité :0.4105
<http://data.doremus.org/performance/2a266c1f-dbf6-3272-bfb1-b762b7721025>	1060483.ttl	Week-end Maintenant. Rone	2017-01-14T20:30	
				
<http://data.doremus.org/performance/1fb69e3b-6c58-3d7e-bb0a-234afe23975a>	16675.ttl	Leonidas Kavakos Yuja Wang 	2017-01-30T20:30	Similarité :0.35750000000000004
<http://data.doremus.org/performance/7966c253-0cd2-39a7-bd27-21a34e5a75fa>	1062228.ttl	Les Dissonances, David Grimal	2017-01-30T20:30	
				
<http://data.doremus.org/performance/8e1284ec-9f61-36e2-9916-0b0112afa603>	18912.ttl	" Grand Orchestre du Tricot \""Zeus\"""	2017-09-09T20:00	Similarité :0.4255
<http://data.doremus.org/performance/bca010ae-d7d6-3f11-a5ae-fbea6ad9f7c4>	1071753.ttl	Jazz à la Villette : Tony Allen	2017-09-09T20:00	
				
<http://data.doremus.org/performance/8e1284ec-9f61-36e2-9916-0b0112afa603>	18912.ttl	" Grand Orchestre du Tricot \""Zeus\"""	2017-09-09T20:00	Similarité :0.4235
<http://data.doremus.org/performance/d7c6eaca-a715-31c7-9190-97db0fd5d78e>	1071757.ttl	Jazz à la Villette : Sinkane	2017-09-09T20:00	
				
<http://data.doremus.org/performance/8e1284ec-9f61-36e2-9916-0b0112afa603>	18912.ttl	" Grand Orchestre du Tricot \""Zeus\"""	2017-09-09T20:00	Similarité :0.38049999999999995
<http://data.doremus.org/performance/85b74d6f-ac92-33ee-a493-9a3a09c27ff2>	1071760.ttl	Jazz à la Villette : Curtis Harding	2017-09-09T20:00	
				
<http://data.doremus.org/performance/8e1284ec-9f61-36e2-9916-0b0112afa603>	18912.ttl	" Grand Orchestre du Tricot \""Zeus\"""	2017-09-09T20:00	Similarité :0.4475
<http://data.doremus.org/performance/03492e88-3716-389e-a2db-6841c1839317>	0241135.ttl	Jean-Sébastien Bach. Trois cantates	2017-09-09T20:00	
				
<http://data.doremus.org/performance/e660d924-e3e8-361d-8726-d84da7cada8d>	18856.ttl	Curtis Harding / Sinkane / Tony Allen	2017-09-09T20:00	Similarité :0.485
<http://data.doremus.org/performance/bca010ae-d7d6-3f11-a5ae-fbea6ad9f7c4>	1071753.ttl	Jazz à la Villette : Tony Allen	2017-09-09T20:00	
				
<http://data.doremus.org/performance/e660d924-e3e8-361d-8726-d84da7cada8d>	18856.ttl	Curtis Harding / Sinkane / Tony Allen	2017-09-09T20:00	Similarité :0.4165
<http://data.doremus.org/performance/d7c6eaca-a715-31c7-9190-97db0fd5d78e>	1071757.ttl	Jazz à la Villette : Sinkane	2017-09-09T20:00	
				
<http://data.doremus.org/performance/e660d924-e3e8-361d-8726-d84da7cada8d>	18856.ttl	Curtis Harding / Sinkane / Tony Allen	2017-09-09T20:00	Similarité :0.3745
<http://data.doremus.org/performance/85b74d6f-ac92-33ee-a493-9a3a09c27ff2>	1071760.ttl	Jazz à la Villette : Curtis Harding	2017-09-09T20:00	
				
<http://data.doremus.org/performance/e660d924-e3e8-361d-8726-d84da7cada8d>	18856.ttl	Curtis Harding / Sinkane / Tony Allen	2017-09-09T20:00	Similarité :0.4185
<http://data.doremus.org/performance/03492e88-3716-389e-a2db-6841c1839317>	0241135.ttl	Jean-Sébastien Bach. Trois cantates	2017-09-09T20:00	
				
<http://data.doremus.org/performance/1560979c-7eaf-308b-8395-563026cb7d6c>	18855.ttl	Gregory Porter	2017-09-05T20:00	Similarité :0.2955
<http://data.doremus.org/performance/e673759f-4339-3026-9416-b521ff595cc7>	1071733.ttl	Jazz à la Villette : Don Bryant & The Bo-Keys	2017-09-05T20:00	
				
<http://data.doremus.org/performance/e071d44b-2f04-3323-adf1-fb63f4fc2dc5>	17790.ttl	La Danse	2017-10-26T20:30	Similarité :0.458
<http://data.doremus.org/performance/e57e8f5c-53f4-3126-96fe-5f6cc1228dad>	1072545.ttl	La Danse : Les Dissonances, David Grimal : Beethoven, Stravinski	2017-10-26T20:30	
				
<http://data.doremus.org/performance/53a5b917-6c19-344a-aae8-7826137c88a5>	18109.ttl	Orchestre de Paris / Gabel	2017-02-07T20:30	Similarité :0.4625
<http://data.doremus.org/performance/7ea40df2-546d-330c-b97a-f47fb9c82728>	1062702.ttl	Chamber Orchestra of Europe, Yannick Nézet-Séguin	2017-02-07T20:30	
				
<http://data.doremus.org/performance/8d7ce939-5931-372c-a477-f037cfa97d42>	16805.ttl	Quartiers Latins	2017-01-30T20:30	Similarité :0.35550000000000004
<http://data.doremus.org/performance/7966c253-0cd2-39a7-bd27-21a34e5a75fa>	1062228.ttl	Les Dissonances, David Grimal	2017-01-30T20:30	
				
<http://data.doremus.org/performance/9f5f3c85-d6e0-3f56-9e79-f445fb751a88>	17188.ttl	Zlata Chochieva	2017-04-18T20:30	Similarité :0.5425
<http://data.doremus.org/performance/08be7c1c-7ac3-3830-bf9c-7fd5efafdbba>	1065610.ttl	Sonya Yoncheva	2017-04-18T20:30	
				
<http://data.doremus.org/performance/e82d5ed1-dd72-31d0-9302-a613babf80c9>	17792.ttl	Orchestre de Paris - Harding	2017-04-18T20:30	Similarité :0.328
<http://data.doremus.org/performance/08be7c1c-7ac3-3830-bf9c-7fd5efafdbba>	1065610.ttl	Sonya Yoncheva	2017-04-18T20:30	
				
<http://data.doremus.org/performance/a36f2b30-b383-3b49-9819-05578387e837>	17823.ttl	Avant-scènes	2017-10-26T20:30	Similarité :0.3675
<http://data.doremus.org/performance/e57e8f5c-53f4-3126-96fe-5f6cc1228dad>	1072545.ttl	La Danse : Les Dissonances, David Grimal : Beethoven, Stravinski	2017-10-26T20:30	
				
<http://data.doremus.org/performance/abf8830f-d311-368f-8303-9d3fd6c24a64>	18250.ttl	Les Fables de La Fontaine en musique	2017-10-26T20:30	Similarité :0.374
<http://data.doremus.org/performance/e57e8f5c-53f4-3126-96fe-5f6cc1228dad>	1072545.ttl	La Danse : Les Dissonances, David Grimal : Beethoven, Stravinski	2017-10-26T20:30	
				
<http://data.doremus.org/performance/2fe262bf-3e06-324a-8e7e-a17887bb7c88>	17942.ttl	Khatia Buniatishvili	2018-02-06T20:30	Similarité :0.3415
<http://data.doremus.org/performance/c76e225c-3d2e-3801-8384-240860fb7227>	1076345.ttl	Bach en sept paroles : V : des profondeurs. Pygmalion - Raphaël Pichon	2018-02-06T20:30	
				
<http://data.doremus.org/performance/657b2f6d-c9ec-3533-924d-77ba3bee7c81>	17741.ttl	Ouverture de la Saison de la Colombie en France	2017-06-23T20:00	Similarité :0.5395
<http://data.doremus.org/performance/8302afe8-efba-36a2-a6b6-710633d996ed>	1067132.ttl	Ouverture de l'année de la Colombie en France. Orchestre Démos - Philharmonie de Paris et Orchestre jovenes de Colombia	2017-06-23T20:00	
				
<http://data.doremus.org/performance/056f4b48-9300-3e86-8122-8fc4b3d32710>	18475.ttl	Savages / Kate Tempest	2017-07-04T20:30	Similarité :0.458
<http://data.doremus.org/performance/353c037e-c6c9-3e4f-87f6-1755a4395bb2>	1069994.ttl	Un concert à emporter, festival Days Off. Kate Tempest	2017-07-04T20:30	
				
<http://data.doremus.org/performance/50aa39ec-b1a7-38bc-ade6-f4ff7cd5f88a>	16879.ttl	Rone	2017-01-14T20:30	Similarité :0.2785
<http://data.doremus.org/performance/2a266c1f-dbf6-3272-bfb1-b762b7721025>	1060483.ttl	Week-end Maintenant. Rone	2017-01-14T20:30	
				
<http://data.doremus.org/performance/6acf77a3-ea2f-3c6d-9114-9879020aad8d>	17869.ttl	Orchestre de Paris	2017-12-21T20:30	Similarité :0.528
<http://data.doremus.org/performance/4e823360-4ec6-3983-8194-caf39f0f16bd>	1072568.ttl	Orchestre de Paris : Daniel Harding, Magdalena Kozena, Andrew Staples, John Relyea	2017-12-21T20:30	
				
<http://data.doremus.org/performance/a3b4ec33-38e1-3ae2-bfab-97f6245ead6d>	17849.ttl	Sorciers et sorcières	2017-11-11T16:30	Similarité :0.44599999999999995
<http://data.doremus.org/performance/69253920-1436-38f2-9c1d-44e96e71c4f6>	1073191.ttl	Week-end Fantastique. Sorciers et sorcières, concert participatif en famille	2017-11-11T16:30	
				
<http://data.doremus.org/performance/763ef8c7-637b-346e-be2d-5b052ee29596>	17938.ttl	Rising Stars	2018-01-30T20:30	Similarité :0.32899999999999996
<http://data.doremus.org/performance/a676833e-ed67-3fd1-934f-0de4f34df5c2>	1075612.ttl	Bach en sept paroles : IV : châtiments	2018-01-30T20:30	
				
<http://data.doremus.org/performance/2cfe6b15-8001-3045-8ca3-e374b48b0b6d>	17069.ttl	Les Amazones d'Afrique	2017-03-12T18:00	Similarité :0.493
<http://data.doremus.org/performance/b89f5ac0-2670-33d3-ba1c-e45646dd4794>	1062911.ttl	Week-end African Queens. Les Amazones d'Afrique	2017-03-12T18:00	
				
<http://data.doremus.org/performance/ef656ca1-f495-3e65-8c72-7daf454c155d>	10773.ttl	Ludwig van Beethoven , symphonies n° 8 et 5	2011-04-16T16:30	Similarité :0.616
<http://data.doremus.org/performance/6474550b-2d1a-325a-8247-99503babc8bc>	0964313.ttl	Beethoven visionnaire. Symphonies n°8 et 5	2011-04-16T16:30	
				
<http://data.doremus.org/performance/5f228df6-c17c-33ce-9584-cb64fb4358bd>	11087.ttl	Orchestre de Paris - Philippe Aïche - Elisabeth Leonskaja - Richard Mc Nicol	2010-11-07T11:00	Similarité :0.4095
<http://data.doremus.org/performance/30ea4aa0-7796-3b6f-b644-d09d520dfaf4>	0952342.ttl	Concert en famille. Edvard Grieg, concerto pour piano, Peer Gynt (extraits)	2010-11-07T11:00	
				
<http://data.doremus.org/performance/5f228df6-c17c-33ce-9584-cb64fb4358bd>	11087.ttl	Orchestre de Paris - Philippe Aïche - Elisabeth Leonskaja - Richard Mc Nicol	2010-11-07T11:00	Similarité :0.428
<http://data.doremus.org/performance/c0725c71-bb66-3513-a9c4-7e05701157bc>	0241112.ttl	Cité-chanson. Juliette : rimes féminines	2010-11-07T11:00	
				
<http://data.doremus.org/performance/5f228df6-c17c-33ce-9584-cb64fb4358bd>	11087.ttl	Orchestre de Paris - Philippe Aïche - Elisabeth Leonskaja - Richard Mc Nicol	2010-11-07T11:00	Similarité :0.4305
<http://data.doremus.org/performance/8b141ddf-1ec0-3133-abb2-4deb430bc627>	0240436.ttl	Musiques et danses en Asie centrale. Fête au Tadjikistan	2010-11-07T11:00	
				
<http://data.doremus.org/performance/c6268064-46f0-3e5d-aeb5-46f24d16fa53>	10967.ttl	Orchestre Philharmonique de Radio France - Andrey Boreyko	2011-01-28T20:00	Similarité :0.4135
<http://data.doremus.org/performance/02c05fe8-284f-3c37-9c82-6ae4c8d38d6d>	0958142.ttl	Réel / virtuel. Double Points : Outis	2011-01-28T20:00	
				
<http://data.doremus.org/performance/c6268064-46f0-3e5d-aeb5-46f24d16fa53>	10967.ttl	Orchestre Philharmonique de Radio France - Andrey Boreyko	2011-01-28T20:00	Similarité :0.424
<http://data.doremus.org/performance/05d96004-0dfe-306d-a678-c057390dbb1c>	0901340.ttl	La grande nouba. Le malouf algérien (Constantine). Salim Fergani et son ensemble	2011-01-28T20:00	
				
<http://data.doremus.org/performance/47343d42-8e24-3a28-895b-310f64853420>	10774.ttl	Ludwig van Beethoven, symphonies n°1 et 3	2011-04-16T20:00	Similarité :0.5609999999999999
<http://data.doremus.org/performance/141a2d16-026f-3894-9045-80c164bcaab3>	0964314.ttl	"Beethoven visionnaire. Symphonies n°1 et 3 \""Eroica\"""	2011-04-16T20:00	
				
<http://data.doremus.org/performance/c0b07b79-0ef2-3df5-a407-0fbb5058501b>	12110.ttl	Pierre Baux & Vincent Courtois	2011-09-10T20:00	Similarité :0.3335
<http://data.doremus.org/performance/d5f4f503-2d73-3894-b9a1-8adb65e87fca>	0987922.ttl	Jazz à la Villette. Fred Wesley and the New JB's	2011-09-10T20:00	
				
<http://data.doremus.org/performance/71877885-99f7-3e00-996b-456f7c7f3be9>	10733.ttl	Les Dissonances	2011-01-07T20:00	Similarité :0.314
<http://data.doremus.org/performance/15198688-34bd-373e-b4e0-7a359bba4e9b>	0956005.ttl	Orchestre Philharmonique de Radio France	2011-01-07T20:00	
				
<http://data.doremus.org/performance/8a90303b-9c2e-386b-864a-5c59a3dbefff>	12098.ttl	"Aldo Romano \""Tribute to Don Cherry\"""	2011-09-04T16:30	Similarité :0.35650000000000004
<http://data.doremus.org/performance/822f919b-75cd-3129-b572-ed103d04132c>	0974508.ttl	Jazz à la Villette. The Jeff Ballard Trio feat. Lionel Loueke & Miguel Zenón	2011-09-04T16:30	
				
<http://data.doremus.org/performance/139b8c67-173f-3cf8-a9a5-5e65f6ec33fe>	11020.ttl	Rising Stars : Apollon Musagete Quartet	2011-01-13T20:00	Similarité :0.4305
<http://data.doremus.org/performance/2abf43e2-e7a6-36d0-9745-f8580baabaa7>	0957530.ttl	Orchestre de Paris, Paavo Järvi, Janine Jansen, Antoine Tamestit	2011-01-13T20:00	
				
<http://data.doremus.org/performance/8fc70a00-62c6-3826-b1ac-f641267c95f6>	6139.ttl	L'Inde : le jour	2008-09-28T07:30	Similarité :0.47
<http://data.doremus.org/performance/0218e41a-ad1d-3e58-aaf1-bcb67f02e608>	1018560.ttl	L'Inde, 24 heures du Raga : le jour. Inde du Sud : Musique rituelle des temples	2008-09-28T07:30	
				
<http://data.doremus.org/performance/55854687-72ef-32db-b8e8-f226bb4da254>	10698.ttl	Ensemble intercontemporain	2010-11-27T20:00	Similarité :0.421
<http://data.doremus.org/performance/2faf8de4-800d-3630-9144-aac838be03aa>	0953738.ttl	Orchestre Philharmonique de Radio France. Alan Gilbert. Yvonne Naef	2010-11-27T20:00	
				
<http://data.doremus.org/performance/55854687-72ef-32db-b8e8-f226bb4da254>	10698.ttl	Ensemble intercontemporain	2010-11-27T20:00	Similarité :0.621
<http://data.doremus.org/performance/2d2f38f6-c084-32be-8986-ee1eb2c30daf>	0951661.ttl	L'art total. Ensemble intercontemporain, Bruno Mantovani	2010-11-27T20:00	
				
<http://data.doremus.org/performance/7ccacd34-424d-3d7d-93dd-08367682f519>	11007.ttl	Orchestre de Paris - Christoph Eschenbach - Emanuel Ax	2011-03-23T20:00	Similarité :0.34850000000000003
<http://data.doremus.org/performance/226b4f2d-7223-30bf-8d38-e3e6b3b87690>	0961909.ttl	Menahem Pressler	2011-03-23T20:00	
				
<http://data.doremus.org/performance/2953f8cd-1929-3df1-9308-530c87d2a969>	10740.ttl	Patti Smith - Picturing Robert 	2011-01-18T20:00	Similarité :0.4145
<http://data.doremus.org/performance/3e9f2093-0d70-3066-94f6-9a4d7d46f60c>	0955975.ttl	Chamber Orchestra of Europe. Bernard Haitink	2011-01-18T20:00	
				
<http://data.doremus.org/performance/55425acd-a300-3cd9-97b5-19a5f5aea32b>	10974.ttl	Staatskapelle Berlin - Daniel Barenboim - Yefim Bronfman	2011-02-05T20:00	Similarité :0.3925
<http://data.doremus.org/performance/f1f48185-9acc-3da3-a8d0-7d96fa9e3009>	0958852.ttl	Ethiopie. Addis Abeba aujourd'hui	2011-02-05T20:00	
				
<http://data.doremus.org/performance/b3df0608-3bbf-3a2f-b013-5516b100be79>	10763.ttl	The Indian Queen - Les Arts Florissants	2011-03-29T20:00	Similarité :0.44399999999999995
