URI	Nom du Fichier	P102 has title	P4 has time-span U8 foresees time span	Similarité
<http://data.doremus.org/performance/45c1e076-4b7a-3a38-952a-ce2a084b6b34>	14569.ttl	Cascadeur feat. Médéric Collignon	2014-09-10T20:00	Similarité :0.386
<http://data.doremus.org/performance/a25b7461-1640-3cdf-94f0-0458d356b8a2>	1021066.ttl	Jazz à la Villette. Roberto Fonseca solo	2014-09-10T20:00	
				
<http://data.doremus.org/performance/bf3f6ed4-af3e-34a9-9572-8e64ad68e1b8>	15165.ttl	Gewandhausorchester Leipzig	2015-10-10T20:30	Similarité :0.43299999999999994
<http://data.doremus.org/performance/02930d8d-adbf-3d1a-ba82-f17772f51951>	1041823.ttl	Week-end Turbulences numériques. Grand soir	2015-10-10T20:30	
				
<http://data.doremus.org/performance/a8ebd6f7-019c-38b4-82b3-f60be56eeadf>	14572.ttl	"Archie Shepp « Swinging The Blues\"" feat. Joe Louis Walker & Amina Claudine Myers"	2014-09-14T19:00	Similarité :0.362
<http://data.doremus.org/performance/ebc94e3c-5f26-3794-a5ea-81c5f49ad301>	1021073.ttl	Jazz à la Villette. Enzo Carniel Sextet	2014-09-14T19:00	
				
<http://data.doremus.org/performance/a8ebd6f7-019c-38b4-82b3-f60be56eeadf>	14572.ttl	"Archie Shepp « Swinging The Blues\"" feat. Joe Louis Walker & Amina Claudine Myers"	2014-09-14T19:00	Similarité :0.458
<http://data.doremus.org/performance/398c4d1d-fe02-3f33-bf36-316166b12a9d>	1021068.ttl	"Jazz à la Villette. Archie Shepp \""Swinging The Blues\"""	2014-09-14T19:00	
				
<http://data.doremus.org/performance/8723067f-d805-3621-a60a-cf7655780ed6>	16921.ttl	Ernest Ranglin & friends feat. Cheikh Lô, Tony Allen, Courtney Pine, Ira Coleman & Alex Wilson	2016-08-31T20:00	Similarité :0.363
<http://data.doremus.org/performance/3370d0e9-fffa-3128-b7ff-cf763a82b497>	1056241.ttl	Jazz à la Villette : Sonny Troupé Quartet	2016-08-31T20:00	
				
<http://data.doremus.org/performance/3e1a2e83-ffba-3506-bd15-1a05df531e21>	14259.ttl	Messe en si	2015-04-03T20:30	Similarité :0.306
<http://data.doremus.org/performance/aceeaa92-cba7-3118-8569-c1f424589f4c>	1032059.ttl	Week-end Bach. Messe en si, English Baroque Soloists, Monteverdi Choir, Sir John Eliot Gardiner	2015-04-03T20:30	
				
<http://data.doremus.org/performance/749b82f3-5670-3060-b2fe-698615c38837>	14057.ttl	Ensemble intercontemporain - Tito Ceccherini	2015-01-16T20:30	Similarité :0.408
