14515.ttl	solistesensembleintercontemporain $date:2015-01-17T15:00	Solistes de l'ensemble intercontemporain
14083.ttl	philippedecoufle $date:2015-03-04T20:30	Philippe Decouflé 
15324.ttl	russiannationalorchestra $date:2016-05-20T20:30	Russian National Orchestra
15230.ttl	harmonie $date:2016-02-20T16:00	Harmonie
13339.ttl	orchestrepasdeloupwolfgangdoernerjonathangilad $date:2014-01-11T16:00	Orchestre Pasdeloup - Wolfgang Doerner - Jonathan Gilad
13452.ttl	orchestrenationalcapitoletoulousetugansokhievnarekhakhnazaryan $date:2018-03-22T17:09	Orchestre National du Capitole de Toulouse - Tugan Sokhiev - Narek Hakhnazaryan
13432.ttl	yujawang $date:2014-05-15T20:00	Yuja Wang
14055.ttl	solistesensembleintercontemporain $date:2014-11-07T20:00	Solistes de l'Ensemble intercontemporain
15145.ttl	merveillesenfance $date:2015-12-15T20:30	Merveilles de l’enfance
14120.ttl	chamberorchestraofeurope $date:2015-05-28T20:30	Chamber Orchestra of Europe
16552.ttl	matthieuchedidmartinparr $date:2016-10-04T20:30	Matthieu Chedid / Martin Parr
14246.ttl	feerieenfantinemichelblanc $date:2015-02-07T11:00	Féerie enfantine - Michel Blanc
13295.ttl	menahempresslerquatuorebene $date:2013-11-07T20:00	Menahem Pressler - Quatuor Ebène 
13336.ttl	orchestreparispaavojärviborisberezovsky $date:2014-01-09T20:00	Orchestre de Paris - Paavo Järvi - Boris Berezovsky
14217.ttl	yundi $date:2018-03-22T17:09	Yundi 
14152.ttl	orchestreparisriccardochaillymarthaargerich $date:2014-12-04T20:00	Orchestre de Paris - Riccardo Chailly - Martha Argerich
13755.ttl	universparalleles $date:2014-06-19T14:30	Univers Parallèles
16303.ttl	ateliersconcertstoutpetits $date:2016-05-15T11:00	Ateliers-Concerts pour les tout-petits
14209.ttl	enfantsortileges $date:2015-02-05T20:30	L’Enfant et les Sortilèges 
16077.ttl	orchestreparis $date:2018-03-22T17:09	Orchestre de Paris
13412.ttl	russiannationalorchestramikhailpletnevnikolailugansky $date:2014-04-14T20:00	Russian National Orchestra - Mikhail Pletnev - Nikolaï Lugansky
